iteration,loss,params,train_time,n_trees
56,384.7892,"{'colsample_bytree': 0.9500000000000001, 'depth': 7, 'eval_metric': 'rmse', 'gamma': 0.15000000000000002, 'min_child_weight': 700.0, 'objective': 'reg:linear', 'subsample': 0.7000000000000001}",1675.594257468416,414
57,382.67136,"{'colsample_bytree': 0.9, 'depth': 11, 'eval_metric': 'rmse', 'gamma': 0.8, 'min_child_weight': 600.0, 'objective': 'reg:linear', 'subsample': 0.8}",1689.8609403424198,263
58,381.9044,"{'colsample_bytree': 0.9500000000000001, 'depth': 13, 'eval_metric': 'rmse', 'gamma': 0.35000000000000003, 'min_child_weight': 1200.0, 'objective': 'reg:linear', 'subsample': 0.65}",3404.4462065833504,462
59,381.2989,"{'colsample_bytree': 0.9, 'depth': 8, 'eval_metric': 'rmse', 'gamma': 0.8500000000000001, 'min_child_weight': 700.0, 'objective': 'reg:linear', 'subsample': 0.75}",2592.9385733089293,611
60,409.90656,"{'colsample_bytree': 0.9, 'depth': 2, 'eval_metric': 'rmse', 'gamma': 0.8, 'min_child_weight': 850.0, 'objective': 'reg:linear', 'subsample': 0.8500000000000001}",1426.5755832078285,1343
61,381.55875,"{'colsample_bytree': 0.8, 'depth': 9, 'eval_metric': 'rmse', 'gamma': 0.2, 'min_child_weight': 1100.0, 'objective': 'reg:linear', 'subsample': 0.8}",2294.0004903897643,534
62,385.1637,"{'colsample_bytree': 1.0, 'depth': 7, 'eval_metric': 'rmse', 'gamma': 0.30000000000000004, 'min_child_weight': 100.0, 'objective': 'reg:linear', 'subsample': 0.9}",932.0513100366807,194
63,388.362,"{'colsample_bytree': 0.8, 'depth': 5, 'eval_metric': 'rmse', 'gamma': 0.9500000000000001, 'min_child_weight': 450.0, 'objective': 'reg:linear', 'subsample': 0.55}",1289.089361588849,530
64,381.1175,"{'colsample_bytree': 0.9, 'depth': 13, 'eval_metric': 'rmse', 'gamma': 0.2, 'min_child_weight': 1050.0, 'objective': 'reg:linear', 'subsample': 0.8}",3495.844608983898,505
65,385.59106,"{'colsample_bytree': 0.9, 'depth': 4, 'eval_metric': 'rmse', 'gamma': 0.4, 'min_child_weight': 750.0, 'objective': 'reg:linear', 'subsample': 0.9500000000000001}",3056.3276448333636,1514
66,383.33807,"{'colsample_bytree': 0.8, 'depth': 8, 'eval_metric': 'rmse', 'gamma': 0.0, 'min_child_weight': 1100.0, 'objective': 'reg:linear', 'subsample': 0.65}",1209.2790221582982,292
67,382.69968,"{'colsample_bytree': 1.0, 'depth': 11, 'eval_metric': 'rmse', 'gamma': 0.35000000000000003, 'min_child_weight': 900.0, 'objective': 'reg:linear', 'subsample': 0.55}",2516.7720736335323,376
68,384.09964,"{'colsample_bytree': 0.8, 'depth': 10, 'eval_metric': 'rmse', 'gamma': 0.9500000000000001, 'min_child_weight': 1450.0, 'objective': 'reg:linear', 'subsample': 0.6000000000000001}",3474.6657061997394,750
69,380.20892,"{'colsample_bytree': 0.8500000000000001, 'depth': 8, 'eval_metric': 'rmse', 'gamma': 0.0, 'min_child_weight': 250.0, 'objective': 'reg:linear', 'subsample': 0.75}",1570.1664143623784,366
